"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
43,153.200000,99.000000,99,271.000000,1800.000000,157.000000,271.000000,1372.000000,0.087222,0.000000,0.000000,0,1.000000
44,154.400000,101.000000,101,267.000000,1800.000000,162.000000,267.000000,1371.000000,0.090000,0.000000,0.000000,0,1.000000
45,151.400000,101.000000,101,252.000000,1800.000000,169.000000,252.000000,1379.000000,0.093889,0.000000,0.000000,0,1.000000
46,150.200000,100.000000,100,251.000000,1800.000000,166.000000,251.000000,1383.000000,0.092222,0.000000,0.000000,0,1.000000
47,149.400000,99.000000,99,252.000000,1800.000000,166.000000,252.000000,1382.000000,0.092222,0.000000,0.000000,0,1.000000
48,151.800000,101.000000,101,254.000000,1800.000000,171.000000,254.000000,1375.000000,0.095000,0.000000,0.000000,0,1.000000
49,148.600000,101.000000,101,238.000000,1800.000000,177.000000,238.000000,1385.000000,0.098333,0.000000,0.000000,0,1.000000
50,150.000000,100.000000,100,250.000000,1800.000000,169.000000,250.000000,1381.000000,0.093889,0.000000,0.000000,0,1.000000
51,146.800000,100.000000,100,234.000000,1800.000000,178.000000,234.000000,1388.000000,0.098889,0.000000,0.000000,0,1.000000
52,147.800000,100.000000,100,239.000000,1800.000000,174.000000,239.000000,1387.000000,0.096667,0.000000,0.000000,0,1.000000
53,154.200000,100.000000,100,271.000000,1800.000000,158.000000,271.000000,1371.000000,0.087778,0.000000,0.000000,0,1.000000
54,147.400000,98.000000,98,247.000000,1800.000000,165.000000,247.000000,1388.000000,0.091667,0.000000,0.000000,0,1.000000
55,145.000000,102.000000,102,215.000000,1800.000000,188.000000,215.000000,1397.000000,0.104444,0.000000,0.000000,0,1.000000
56,155.600000,102.000000,102,268.000000,1800.000000,166.000000,268.000000,1366.000000,0.092222,0.000000,0.000000,0,1.000000
57,151.400000,99.000000,99,262.000000,1800.000000,159.000000,262.000000,1379.000000,0.088333,0.000000,0.000000,0,1.000000
58,142.800000,100.000000,100,214.000000,1800.000000,187.000000,214.000000,1399.000000,0.103889,0.000000,0.000000,0,1.000000
59,147.800000,100.000000,100,239.000000,1800.000000,174.000000,239.000000,1387.000000,0.096667,0.000000,0.000000,0,1.000000
60,153.800000,100.000000,100,269.000000,1800.000000,160.000000,269.000000,1371.000000,0.088889,0.000000,0.000000,0,1.000000
61,149.800000,101.000000,101,244.000000,1800.000000,173.000000,244.000000,1383.000000,0.096111,0.000000,0.000000,0,1.000000
62,146.000000,102.000000,102,220.000000,1800.000000,186.000000,220.000000,1394.000000,0.103333,0.000000,0.000000,0,1.000000
63,145.400000,101.000000,101,222.000000,1800.000000,186.000000,222.000000,1392.000000,0.103333,0.000000,0.000000,0,1.000000
64,147.800000,101.000000,101,234.000000,1800.000000,177.000000,234.000000,1389.000000,0.098333,0.000000,0.000000,0,1.000000
65,144.600000,99.000000,99,228.000000,1800.000000,176.000000,228.000000,1396.000000,0.097778,0.000000,0.000000,0,1.000000
66,151.000000,101.000000,101,250.000000,1800.000000,170.000000,250.000000,1380.000000,0.094444,0.000000,0.000000,0,1.000000
67,153.000000,99.000000,99,270.000000,1800.000000,155.000000,270.000000,1375.000000,0.086111,0.000000,0.000000,0,1.000000
68,157.600000,99.000000,99,293.000000,1800.000000,143.000000,293.000000,1364.000000,0.079444,0.000000,0.000000,0,1.000000
69,150.600000,99.000000,99,258.000000,1800.000000,163.000000,258.000000,1379.000000,0.090556,0.000000,0.000000,0,1.000000
70,154.000000,102.000000,102,260.000000,1800.000000,167.000000,260.000000,1373.000000,0.092778,0.000000,0.000000,0,1.000000
71,144.000000,101.000000,101,215.000000,1800.000000,187.000000,215.000000,1398.000000,0.103889,0.000000,0.000000,0,1.000000
72,149.600000,102.000000,102,238.000000,1800.000000,176.000000,238.000000,1386.000000,0.097778,0.000000,0.000000,0,1.000000
73,154.200000,102.000000,102,261.000000,1800.000000,167.000000,261.000000,1372.000000,0.092778,0.000000,0.000000,0,1.000000
74,141.000000,99.000000,99,210.000000,1800.000000,188.000000,210.000000,1402.000000,0.104444,0.000000,0.000000,0,1.000000
75,150.000000,104.000000,104,230.000000,1800.000000,187.000000,230.000000,1383.000000,0.103889,0.000000,0.000000,0,1.000000
76,146.600000,100.000000,100,233.000000,1800.000000,173.000000,233.000000,1394.000000,0.096111,0.000000,0.000000,0,1.000000
77,148.800000,99.000000,99,249.000000,1800.000000,167.000000,249.000000,1384.000000,0.092778,0.000000,0.000000,0,1.000000
78,149.000000,100.000000,100,245.000000,1800.000000,172.000000,245.000000,1383.000000,0.095556,0.000000,0.000000,0,1.000000
79,143.200000,98.000000,98,226.000000,1800.000000,178.000000,226.000000,1396.000000,0.098889,0.000000,0.000000,0,1.000000
80,148.200000,98.000000,98,251.000000,1800.000000,165.000000,251.000000,1384.000000,0.091667,0.000000,0.000000,0,1.000000
81,148.400000,99.000000,99,247.000000,1800.000000,165.000000,247.000000,1388.000000,0.091667,0.000000,0.000000,0,1.000000
82,147.200000,99.000000,99,241.000000,1800.000000,172.000000,241.000000,1387.000000,0.095556,0.000000,0.000000,0,1.000000
83,155.800000,100.000000,100,279.000000,1800.000000,158.000000,279.000000,1363.000000,0.087778,0.000000,0.000000,0,1.000000
84,151.200000,102.000000,102,246.000000,1800.000000,175.000000,246.000000,1379.000000,0.097222,0.000000,0.000000,0,1.000000
85,148.400000,101.000000,101,237.000000,1800.000000,177.000000,237.000000,1386.000000,0.098333,0.000000,0.000000,0,1.000000
86,146.000000,103.000000,103,215.000000,1800.000000,188.000000,215.000000,1397.000000,0.104444,0.000000,0.000000,0,1.000000
87,149.200000,99.000000,99,251.000000,1800.000000,166.000000,251.000000,1383.000000,0.092222,0.000000,0.000000,0,1.000000
88,153.000000,103.000000,103,250.000000,1800.000000,176.000000,250.000000,1374.000000,0.097778,0.000000,0.000000,0,1.000000
89,150.600000,99.000000,99,258.000000,1800.000000,162.000000,258.000000,1380.000000,0.090000,0.000000,0.000000,0,1.000000
90,148.200000,100.000000,100,241.000000,1800.000000,176.000000,241.000000,1383.000000,0.097778,0.000000,0.000000,0,1.000000
91,145.600000,99.000000,99,233.000000,1800.000000,173.000000,233.000000,1394.000000,0.096111,0.000000,0.000000,0,1.000000
92,151.600000,101.000000,101,253.000000,1800.000000,172.000000,253.000000,1375.000000,0.095556,0.000000,0.000000,0,1.000000
93,144.400000,97.000000,97,237.000000,1800.000000,168.000000,237.000000,1395.000000,0.093333,0.000000,0.000000,0,1.000000
94,153.600000,102.000000,102,258.000000,1800.000000,169.000000,258.000000,1373.000000,0.093889,0.000000,0.000000,0,1.000000
95,145.400000,98.000000,98,237.000000,1800.000000,172.000000,237.000000,1391.000000,0.095556,0.000000,0.000000,0,1.000000
96,149.800000,101.000000,101,244.000000,1800.000000,174.000000,244.000000,1382.000000,0.096667,0.000000,0.000000,0,1.000000
97,147.800000,99.000000,99,244.000000,1800.000000,170.000000,244.000000,1386.000000,0.094444,0.000000,0.000000,0,1.000000
98,160.800000,102.000000,102,294.000000,1800.000000,151.000000,294.000000,1355.000000,0.083889,0.000000,0.000000,0,1.000000
99,150.800000,100.000000,100,254.000000,1800.000000,166.000000,254.000000,1380.000000,0.092222,0.000000,0.000000,0,1.000000
100,152.000000,99.000000,99,265.000000,1800.000000,159.000000,265.000000,1376.000000,0.088333,0.000000,0.000000,0,1.000000
